t,phase,found,cx,cy,wpx,hpx,conf,cmd_vx,cmd_vy,cmd_vz,cmd_yawrate,vbx,vby,vd,roll_des,pitch_des,roll,pitch,yaw,roll_q,pitch_q,yaw_q,thrust,x,y,z
0.000,takeoff,1,326,176,41,39,0.51,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,0.000,0.000,0.311,-3.140,0.000,0.388,0.000,0.314,-0.00,0.00,0.02
0.015,takeoff,1,326,176,41,39,0.51,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,0.000,0.000,0.311,-3.140,0.000,0.388,0.000,0.315,-0.00,0.00,0.02
0.015,takeoff,1,326,176,41,39,0.51,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,0.000,0.000,0.311,-3.140,0.000,0.388,0.000,0.315,-0.00,0.00,0.02
0.015,takeoff,1,326,176,41,39,0.51,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,0.000,0.000,0.311,-3.140,0.000,0.388,0.000,0.315,-0.00,0.00,0.02
0.015,takeoff,1,326,176,41,39,0.51,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,0.000,0.000,0.311,-3.140,0.000,0.388,0.000,0.315,-0.00,0.00,0.02
0.031,takeoff,1,326,176,41,39,0.51,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,0.000,0.000,0.311,-3.140,0.000,0.388,0.000,0.315,-0.00,0.00,0.02
0.031,takeoff,1,326,176,41,39,0.51,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,0.000,0.000,0.311,-3.140,0.000,0.388,0.000,0.315,-0.00,0.00,0.02
0.031,takeoff,1,326,176,41,39,0.51,0.00,0.00,-0.80,0.00,0.00,0.00,0.01,-0.000,0.000,0.000,0.311,-3.140,0.000,0.388,0.000,0.316,-0.00,0.00,0.02
0.031,takeoff,1,326,176,41,39,0.51,0.00,0.00,-0.80,0.00,0.00,0.00,0.01,-0.000,0.000,0.000,0.311,-3.141,0.000,0.388,0.000,0.316,-0.00,0.00,0.02
0.031,takeoff,1,326,176,41,39,0.51,0.00,0.00,-0.80,0.00,0.00,0.00,0.01,-0.000,0.000,0.000,0.311,-3.141,0.000,0.388,0.000,0.316,-0.00,0.00,0.02
0.031,takeoff,1,326,176,41,39,0.51,0.00,0.00,-0.80,0.00,-0.00,0.00,0.01,-0.000,0.000,0.000,0.311,-3.141,0.000,0.388,0.000,0.316,-0.00,0.00,0.02
0.046,takeoff,1,326,176,41,39,0.49,0.00,0.00,-0.80,0.00,-0.00,0.00,0.00,-0.000,0.000,0.000,0.311,-3.141,0.000,0.388,0.000,0.316,-0.00,0.00,0.02
0.046,takeoff,1,326,176,41,39,0.49,0.00,0.00,-0.80,0.00,-0.00,0.00,0.00,-0.000,0.000,0.000,0.311,-3.141,0.000,0.388,0.000,0.316,-0.00,0.00,0.02
0.046,takeoff,1,326,176,41,39,0.49,0.00,0.00,-0.80,0.00,-0.00,0.00,0.00,-0.000,0.000,0.000,0.311,-3.141,0.000,0.388,0.000,0.316,-0.00,0.00,0.02
0.046,takeoff,1,326,176,41,39,0.49,0.00,0.00,-0.80,0.00,-0.00,0.00,0.00,-0.000,0.000,0.000,0.311,-3.141,0.000,0.388,0.000,0.316,-0.00,0.00,0.02
0.046,takeoff,1,326,176,41,39,0.49,0.00,0.00,-0.80,0.00,0.00,0.00,0.00,-0.000,0.000,0.000,0.311,-3.141,0.000,0.388,0.000,0.316,-0.00,0.00,0.02
0.046,takeoff,1,326,176,41,39,0.49,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,-0.000,-0.001,0.000,0.310,-3.141,0.000,0.389,0.000,0.316,-0.00,0.00,0.02
0.046,takeoff,1,326,176,41,39,0.49,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,-0.000,-0.001,0.000,0.310,-3.141,0.000,0.389,0.000,0.316,-0.00,0.00,0.02
0.062,takeoff,1,326,176,41,39,0.49,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,-0.000,-0.001,0.000,0.310,-3.141,0.000,0.389,0.000,0.316,-0.00,0.00,0.02
0.062,takeoff,1,326,176,41,39,0.49,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,-0.000,-0.001,0.000,0.310,-3.141,0.000,0.389,0.000,0.316,-0.00,0.00,0.02
0.062,takeoff,1,326,176,41,39,0.49,0.00,0.00,-0.80,0.00,0.00,0.00,-0.03,-0.000,-0.003,0.000,0.309,-3.141,0.000,0.389,0.000,0.314,-0.00,0.00,0.02
0.062,takeoff,1,326,176,41,39,0.49,0.00,0.00,-0.80,0.00,0.01,0.00,-0.03,-0.000,-0.003,0.000,0.309,-3.141,0.000,0.389,0.000,0.314,-0.00,0.00,0.02
0.062,takeoff,1,326,176,41,39,0.49,0.00,0.00,-0.80,0.00,0.01,0.00,-0.03,-0.000,-0.003,0.000,0.309,-3.141,0.000,0.389,0.000,0.314,-0.00,0.00,0.02
0.062,takeoff,1,325,178,40,39,0.51,0.00,0.00,-0.80,0.00,0.01,0.00,-0.03,-0.000,-0.003,0.000,0.304,-3.141,0.000,0.384,0.000,0.314,-0.00,0.00,0.02
0.078,takeoff,1,325,178,40,39,0.51,0.00,0.00,-0.80,0.00,0.01,0.00,-0.06,-0.000,-0.005,0.000,0.304,-3.141,0.000,0.387,0.000,0.313,-0.00,0.00,0.02
0.078,takeoff,1,325,178,40,39,0.51,0.00,0.00,-0.80,0.00,0.01,0.00,-0.06,-0.000,-0.005,0.000,0.304,-3.141,0.000,0.387,0.000,0.313,-0.00,0.00,0.02
0.078,takeoff,1,325,178,40,39,0.51,0.00,0.00,-0.80,0.00,0.02,0.00,-0.06,-0.000,-0.005,0.000,0.304,-3.141,0.000,0.387,0.000,0.313,-0.00,0.00,0.02
0.078,takeoff,1,325,178,40,39,0.51,0.00,0.00,-0.80,0.00,0.02,0.00,-0.06,-0.000,-0.005,0.000,0.299,-3.141,0.000,0.380,0.000,0.313,-0.00,0.00,0.02
0.078,takeoff,1,325,178,40,39,0.51,0.00,0.00,-0.80,0.00,0.02,0.00,-0.06,-0.000,-0.005,0.000,0.299,-3.141,0.000,0.380,0.000,0.313,-0.00,0.00,0.02
0.078,takeoff,1,325,178,40,39,0.51,0.00,0.00,-0.80,0.00,0.02,0.00,-0.07,-0.000,-0.007,0.000,0.299,-3.141,0.000,0.383,0.000,0.311,-0.00,0.00,0.02
