t,phase,found,cx,cy,conf,cmd_vx,cmd_vy,cmd_vz,cmd_yawrate,vbx,vby,vd,roll_des,pitch_des,roll,pitch,yaw,roll_q,pitch_q,yaw_q,thrust,x,y,z
0.000,takeoff,1,324,176,0.53,0.00,0.00,-0.80,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,-0.000,-0.000,0.000,0.314,0.00,0.00,0.00
0.016,takeoff,1,324,176,0.53,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.315,-0.00,0.00,0.02
0.016,takeoff,1,324,176,0.53,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.315,-0.00,0.00,0.02
0.016,takeoff,1,324,176,0.53,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.315,-0.00,0.00,0.02
0.031,takeoff,1,324,176,0.53,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.315,-0.00,0.00,0.02
0.031,takeoff,1,324,176,0.53,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.315,-0.00,0.00,0.02
0.031,takeoff,1,324,176,0.53,0.00,0.00,-0.80,0.00,0.00,0.00,-0.00,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.315,-0.00,0.00,0.02
0.031,takeoff,1,324,176,0.53,0.00,0.00,-0.80,0.00,-0.00,-0.00,0.00,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.315,-0.00,0.00,0.02
0.031,takeoff,1,324,176,0.53,0.00,0.00,-0.80,0.00,-0.00,-0.00,0.00,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.315,-0.00,0.00,0.02
0.031,takeoff,1,324,176,0.53,0.00,0.00,-0.80,0.00,-0.00,-0.00,0.00,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.315,-0.00,0.00,0.02
0.047,takeoff,1,324,176,0.53,0.00,0.00,-0.80,0.00,-0.00,-0.00,0.00,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.316,-0.00,0.00,0.02
0.047,takeoff,1,324,176,0.53,0.00,0.00,-0.80,0.00,-0.00,-0.00,0.00,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.316,-0.00,0.00,0.02
0.047,takeoff,1,324,176,0.53,0.00,0.00,-0.80,0.00,-0.00,-0.00,0.00,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.316,-0.00,0.00,0.02
0.047,takeoff,1,324,176,0.53,0.00,0.00,-0.80,0.00,-0.00,-0.00,0.00,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.316,-0.00,0.00,0.02
0.047,takeoff,1,324,176,0.53,0.00,0.00,-0.80,0.00,-0.00,-0.00,0.00,0.000,0.000,-0.000,0.311,3.141,-0.000,0.388,0.000,0.316,-0.00,0.00,0.02
0.047,takeoff,1,324,176,0.53,0.00,0.00,-0.80,0.00,-0.00,-0.00,-0.01,0.000,-0.002,-0.000,0.310,3.141,-0.000,0.389,0.000,0.315,-0.00,0.00,0.02
0.063,takeoff,1,324,176,0.53,0.00,0.00,-0.80,0.00,-0.00,-0.00,-0.01,0.000,-0.002,-0.000,0.310,3.141,-0.000,0.389,0.000,0.316,-0.00,0.00,0.02
0.063,takeoff,1,324,176,0.53,0.00,0.00,-0.80,0.00,0.01,-0.00,-0.01,0.000,-0.002,-0.000,0.310,3.141,-0.000,0.389,0.000,0.316,-0.00,0.00,0.02
0.063,takeoff,1,324,176,0.53,0.00,0.00,-0.80,0.00,0.01,-0.00,-0.01,0.000,-0.002,-0.000,0.310,3.141,-0.000,0.389,0.000,0.316,-0.00,0.00,0.02
0.063,takeoff,1,324,176,0.53,0.00,0.00,-0.80,0.00,0.01,-0.00,-0.02,0.000,-0.003,-0.000,0.307,3.141,-0.000,0.388,0.000,0.315,-0.00,0.00,0.02
0.063,takeoff,1,324,176,0.53,0.00,0.00,-0.80,0.00,0.01,-0.00,-0.02,0.000,-0.003,-0.000,0.307,3.141,-0.000,0.388,0.000,0.315,-0.00,0.00,0.02
0.063,takeoff,1,324,176,0.53,0.00,0.00,-0.80,0.00,0.01,-0.00,-0.02,0.000,-0.003,-0.000,0.307,3.141,-0.000,0.388,0.000,0.315,-0.00,0.00,0.02
0.078,takeoff,1,324,176,0.53,0.00,0.00,-0.80,0.00,0.01,-0.00,-0.02,0.000,-0.003,-0.000,0.304,3.141,-0.000,0.383,0.000,0.315,-0.00,0.00,0.02
0.078,takeoff,1,324,176,0.53,0.00,0.00,-0.80,0.00,0.02,-0.00,-0.02,0.000,-0.003,-0.000,0.304,3.141,-0.000,0.383,0.000,0.315,-0.00,0.00,0.02
0.078,takeoff,1,324,176,0.53,0.00,0.00,-0.80,0.00,0.02,-0.00,-0.06,0.000,-0.006,-0.000,0.304,3.141,-0.000,0.387,0.000,0.312,-0.00,0.00,0.02
0.078,takeoff,1,324,180,0.53,0.00,0.00,-0.80,0.00,0.02,-0.00,-0.06,0.000,-0.006,-0.000,0.304,3.141,-0.000,0.387,0.000,0.312,-0.00,0.00,0.02
0.078,takeoff,1,324,180,0.53,0.00,0.00,-0.80,0.00,0.02,-0.00,-0.06,0.000,-0.006,-0.000,0.298,3.141,-0.000,0.380,0.000,0.312,-0.00,0.00,0.02
0.078,takeoff,1,324,180,0.53,0.00,0.00,-0.80,0.00,0.02,-0.00,-0.06,0.000,-0.006,-0.000,0.298,3.141,-0.000,0.380,0.000,0.312,-0.00,0.00,0.02
0.078,takeoff,1,324,180,0.53,0.00,0.00,-0.80,0.00,0.04,-0.00,-0.07,0.000,-0.008,-0.000,0.298,3.141,-0.000,0.383,0.000,0.311,-0.00,0.00,0.02
0.094,takeoff,1,324,180,0.53,0.00,0.00,-0.80,0.00,0.04,-0.00,-0.07,0.000,-0.008,-0.000,0.283,3.141,-0.000,0.364,0.000,0.312,-0.00,0.00,0.02
0.094,takeoff,1,324,180,0.53,0.00,0.00,-0.80,0.00,0.04,-0.00,-0.07,0.000,-0.008,-0.000,0.283,3.141,-0.000,0.364,0.000,0.312,-0.00,0.00,0.02
0.094,takeoff,1,324,180,0.53,0.00,0.00,-0.80,0.00,0.04,-0.00,-0.07,0.000,-0.008,-0.000,0.283,3.141,-0.000,0.364,0.000,0.312,-0.00,0.00,0.02
0.094,takeoff,1,324,180,0.53,0.00,0.00,-0.80,0.00,0.04,-0.00,-0.10,0.000,-0.013,-0.000,0.274,3.141,-0.001,0.358,0.000,0.310,-0.00,0.00,0.02
0.094,takeoff,1,324,180,0.53,0.00,0.00,-0.80,0.00,0.07,-0.00,-0.10,0.000,-0.013,-0.000,0.274,3.141,-0.001,0.358,0.000,0.310,-0.00,0.00,0.02
0.109,takeoff,1,324,180,0.53,0.00,0.00,-0.80,0.00,0.07,-0.00,-0.10,0.000,-0.013,-0.000,0.274,3.141,-0.001,0.358,0.000,0.310,-0.00,0.00,0.02
0.109,takeoff,1,324,180,0.53,0.00,0.00,-0.80,0.00,0.07,-0.00,-0.10,0.000,-0.013,-0.000,0.274,3.141,-0.001,0.358,0.000,0.310,-0.00,0.00,0.02
0.109,takeoff,1,324,180,0.53,0.00,0.00,-0.80,0.00,0.07,-0.00,-0.10,0.000,-0.015,-0.000,0.264,3.141,-0.001,0.349,0.000,0.310,-0.00,0.00,0.02
0.109,takeoff,1,324,180,0.53,0.00,0.00,-0.80,0.00,0.07,-0.00,-0.10,0.000,-0.015,-0.000,0.264,3.141,-0.001,0.349,0.000,0.310,-0.00,0.00,0.02
